wiek;przychod;czas_na_stronie_min;liczba_wizyt;godzina_wejscia;dzien_tygodnia;typ_klienta;region;kupil
18;2115;25;4;15;5;powracajacy;zachod;0
47;5168;10;5;4;3;nowy;wschod;0
49;5700;34;13;10;3;powracajacy;centrum;0
41;7767;11;19;9;3;nowy;zachod;0
55;9637;29;7;1;1;nowy;centrum;0
44;1720;34;5;0;5;powracajacy;poludnie;0
54;1627;16;5;5;6;powracajacy;wschod;0
26;4750;34;6;1;4;vip;poludnie;1
68;4601;50;12;11;5;nowy;polnoc;0
63;8316;50;10;0;2;powracajacy;polnoc;0
35;2146;55;16;20;1;nowy;centrum;1
64;4420;55;13;11;5;nowy;centrum;0
54;5294;2;11;23;3;nowy;polnoc;0
36;2431;26;7;3;5;powracajacy;wschod;0
32;5220;49;15;15;4;nowy;zachod;0
35;3815;6;13;12;3;nowy;wschod;0
63;5666;35;4;19;1;powracajacy;zachod;0
37;1061;8;1;2;3;vip;centrum;0
36;1835;25;13;21;3;nowy;poludnie;0
29;9378;8;10;19;1;nowy;polnoc;0
69;7114;52;1;23;3;nowy;polnoc;0
32;3058;35;1;19;3;powracajacy;poludnie;1
67;6187;7;17;20;6;powracajacy;wschod;0
20;7733;2;9;23;3;nowy;centrum;0
54;3226;30;13;23;3;powracajacy;poludnie;0
23;8520;18;2;21;1;powracajacy;poludnie;1
49;5078;31;13;14;1;powracajacy;poludnie;0
53;6515;32;13;15;5;vip;polnoc;0
31;9400;33;13;2;1;nowy;polnoc;0
26;9718;32;1;21;1;powracajacy;polnoc;1
54;6841;24;17;2;3;nowy;poludnie;0
41;7002;9;14;17;1;nowy;wschod;0
42;4202;37;5;2;7;nowy;poludnie;0
44;7165;31;19;14;4;nowy;wschod;0
41;1423;14;5;12;2;powracajacy;zachod;0
32;6589;40;1;9;2;nowy;poludnie;0
30;3850;51;8;22;7;powracajacy;polnoc;0
57;5112;56;17;4;1;nowy;poludnie;0
60;6386;48;3;9;4;powracajacy;centrum;0
67;3970;24;11;13;1;powracajacy;zachod;0
20;8148;9;11;9;7;powracajacy;wschod;0
24;3848;51;8;4;2;powracajacy;centrum;0
45;4462;7;16;15;3;powracajacy;zachod;0
19;3511;43;8;22;2;nowy;poludnie;0
56;4752;24;10;15;7;nowy;polnoc;0
61;4884;7;19;19;4;vip;wschod;0
37;2525;4;12;3;6;powracajacy;polnoc;0
40;9154;11;18;10;7;powracajacy;polnoc;0
24;9057;34;10;4;4;nowy;poludnie;0
